subject,sample_id
S0,S0_0
S0,S0_1
S1,S1_0
S1,S1_1
S2,S2_0
S2,S2_1
S3,S3_0
S3,S3_1
S4,S4_0
S4,S4_1
S5,S5_0
S5,S5_1
S6,S6_0
S6,S6_1
S7,S7_0
S7,S7_1
S8,S8_0
S8,S8_1
S9,S9_0
S9,S9_1
S10,S10_0
S10,S10_1
S11,S11_0
S11,S11_1
S12,S12_0
S12,S12_1
S13,S13_0
S13,S13_1
S14,S14_0
S14,S14_1
S15,S15_0
S15,S15_1
S16,S16_0
S16,S16_1
S17,S17_0
S17,S17_1
S18,S18_0
S18,S18_1
S19,S19_0
S19,S19_1
S20,S20_0
S20,S20_1
S21,S21_0
S21,S21_1
S22,S22_0
S22,S22_1
S23,S23_0
S23,S23_1
S24,S24_0
S24,S24_1
S25,S25_0
S25,S25_1
S26,S26_0
S26,S26_1
S27,S27_0
S27,S27_1
S28,S28_0
S28,S28_1
S29,S29_0
S29,S29_1
S30,S30_0
S30,S30_1
S31,S31_0
S31,S31_1
S32,S32_0
S32,S32_1
S33,S33_0
S33,S33_1
S34,S34_0
S34,S34_1
S35,S35_0
S35,S35_1
S36,S36_0
S36,S36_1
S37,S37_0
S37,S37_1
S38,S38_0
S38,S38_1
S39,S39_0
S39,S39_1
