sample_id,Horvath1,PCHorvath1,Hannum,PCHannum,PhenoAge,PCPhenoAge,GrimAge,PCGrimAge
S0_0,50.286,47.879,47.488,53.547,50.248,38.333,45.546,41.861
S0_1,50.168,51.386,44.008,54.197,49.979,40.837,48.217,47.518
S1_0,48.705,50.001,53.651,60.094,49.696,52.167,50.404,44.31
S1_1,51.984,42.789,53.924,64.313,47.727,50.439,44.092,47.137
S2_0,51.78,48.763,53.069,54.183,52.172,51.746,35.425,52.484
S2_1,44.456,47.695,50.508,49.912,50.752,50.657,39.324,53.467
S3_0,46.823,33.575,50.47,47.543,50.798,52.837,58.236,47.37
S3_1,44.957,39.866,55.073,52.751,49.932,50.9,57.724,49.95
S4_0,45.655,43.152,46.59,41.275,59.995,41.872,56.903,38.393
S4_1,52.314,43.392,47.087,34.186,59.553,39.334,49.172,39.774
S5_0,45.971,50.281,51.477,56.371,43.292,50.002,56.955,46.76
S5_1,41.027,53.323,61.635,54.122,42.669,45.986,54.867,43.263
S6_0,50.549,35.869,52.764,42.35,41.123,44.693,67.042,54.717
S6_1,51.814,36.868,52.622,37.169,40.646,46.81,55.118,57.829
S7_0,57.565,52.286,38.804,40.659,41.204,43.41,47.814,49.985
S7_1,59.763,52.014,37.128,38.166,44.062,46.166,48.303,52.5
S8_0,46.879,42.89,46.494,62.739,39.306,36.99,41.484,51.83
S8_1,48.729,38.245,45.092,54.601,40.759,34.624,41.286,45.821
S9_0,49.903,55.276,37.576,59.0,53.893,48.136,49.47,45.308
S9_1,44.574,54.455,38.35,52.296,50.331,47.288,39.184,41.003
S10_0,53.451,43.815,35.027,49.592,55.105,57.215,45.358,57.718
S10_1,51.771,43.647,32.158,44.086,55.224,54.119,41.743,61.799
S11_0,52.462,56.262,46.644,38.591,43.916,51.408,44.683,53.532
S11_1,49.149,53.913,45.081,42.691,43.383,54.708,48.858,45.767
S12_0,49.172,50.404,56.096,44.017,40.91,50.872,47.29,45.549
S12_1,50.138,50.842,62.809,50.989,39.704,50.392,43.283,43.404
S13_0,46.683,43.744,51.803,46.939,47.332,50.037,36.704,45.541
S13_1,47.304,42.494,50.485,42.796,46.766,50.348,32.798,50.548
S14_0,46.489,58.459,41.926,52.316,58.53,57.608,49.807,54.12
S14_1,47.822,56.074,39.638,52.444,55.938,54.292,53.342,62.346
S15_0,55.802,55.167,44.155,63.398,33.554,31.485,42.019,51.151
S15_1,49.15,61.044,46.977,61.938,33.369,33.671,46.435,56.2
S16_0,40.767,52.041,55.606,48.82,52.877,50.156,51.093,57.604
S16_1,41.69,49.251,56.102,50.388,52.281,47.594,46.473,54.625
S17_0,50.423,49.722,50.283,42.243,44.65,49.967,46.724,48.084
S17_1,48.992,50.326,51.275,41.456,40.216,50.386,46.158,49.673
S18_0,37.768,51.136,45.509,42.832,57.163,55.424,43.9,55.753
S18_1,37.664,51.363,49.582,45.625,56.728,52.576,49.626,57.32
S19_0,41.632,43.001,47.116,45.075,44.099,59.922,47.327,44.584
S19_1,46.103,47.968,52.333,49.674,44.299,60.629,42.712,38.999
S20_0,37.871,53.449,47.919,46.989,46.98,58.049,49.176,52.173
S20_1,38.184,58.763,51.962,46.008,47.769,56.14,46.375,51.477
S21_0,49.478,47.988,59.406,45.651,42.236,52.873,47.561,65.431
S21_1,48.285,48.945,53.892,41.536,41.824,50.095,46.691,65.155
S22_0,41.898,54.429,51.511,55.193,44.55,51.088,42.092,58.193
S22_1,39.587,53.434,53.89,48.359,41.108,49.763,40.035,53.019
S23_0,51.599,42.354,51.288,44.254,59.391,56.985,54.105,44.545
S23_1,50.51,40.984,48.313,42.413,60.654,54.668,51.294,46.34
S24_0,53.88,48.303,45.126,54.411,56.943,45.285,62.431,53.61
S24_1,52.587,43.685,49.789,58.436,55.391,46.059,62.493,44.686
S25_0,48.818,42.302,52.292,55.911,44.475,49.315,56.837,56.086
S25_1,50.563,44.45,52.458,58.186,49.475,51.16,61.313,49.743
S26_0,34.043,53.399,42.76,56.367,44.484,52.246,57.033,53.45
S26_1,37.551,52.224,46.852,53.251,39.714,53.363,58.65,61.628
S27_0,46.754,49.729,52.822,46.849,39.392,60.988,49.528,46.73
S27_1,48.238,49.187,53.242,47.312,35.653,66.809,59.896,42.561
S28_0,46.455,55.176,46.213,55.963,45.045,50.956,46.303,38.309
S28_1,50.583,55.893,39.657,50.368,46.368,48.821,41.745,42.777
S29_0,46.425,47.911,52.418,49.09,52.36,51.134,52.737,52.452
S29_1,45.55,46.265,53.747,44.042,49.073,53.824,57.682,46.843
S30_0,40.052,45.414,50.734,49.622,50.038,50.723,49.353,51.5
S30_1,38.551,43.384,51.616,44.423,52.992,50.458,47.175,52.566
S31_0,47.547,43.897,47.909,42.546,52.625,60.483,49.906,48.424
S31_1,52.791,49.314,41.462,47.787,49.231,59.048,47.366,51.887
S32_0,42.033,46.484,58.553,45.519,42.786,51.161,50.164,57.79
S32_1,42.556,47.663,56.272,37.628,40.747,48.802,45.743,56.043
S33_0,45.665,47.554,58.888,38.073,48.213,62.665,50.418,50.195
S33_1,46.39,48.389,63.2,39.107,50.453,62.235,53.943,52.132
S34_0,55.921,45.23,50.097,51.377,50.559,45.332,56.297,54.981
S34_1,55.846,45.514,44.392,55.904,49.988,45.569,43.898,52.919
S35_0,46.925,48.693,52.064,46.43,59.733,44.829,47.888,41.918
S35_1,46.465,46.227,53.118,46.688,56.199,50.159,46.588,47.25
S36_0,47.199,42.626,53.149,53.048,61.088,48.423,46.209,55.948
S36_1,49.605,42.585,51.656,49.032,62.663,49.679,39.515,58.273
S37_0,55.395,50.263,34.962,57.309,50.346,56.084,46.08,66.741
S37_1,52.649,41.648,35.209,53.096,51.32,54.036,47.655,64.617
S38_0,47.153,62.162,50.606,35.965,46.196,52.891,60.293,62.504
S38_1,44.336,59.699,51.382,34.095,44.783,57.007,60.367,51.779
S39_0,51.78,45.937,50.252,50.879,50.334,39.461,47.935,54.322
S39_1,49.816,42.318,49.38,44.334,47.605,40.283,42.306,50.419
