subject,sample_id
indiv_01,7786915023_R02C02
indiv_01,7512551008_R01C02
indiv_02,7786915135_R04C02
indiv_02,7512560138_R03C01
indiv_03,7471147149_R06C01
indiv_03,7512551008_R01C01
indiv_04,7786915035_R05C01
indiv_04,7512578059_R01C02
indiv_05,7786923035_R01C01
indiv_05,7512578059_R03C02
indiv_06,7471147072_R01C02
indiv_06,7512551008_R03C02
indiv_07,7471147107_R05C02
indiv_07,7786915157_R06C01
indiv_08,7786923028_R05C02
indiv_08,7512551008_R06C01
indiv_09,7512560087_R03C01
indiv_09,7786915157_R01C01
indiv_10,7786923066_R01C01
indiv_10,7512578059_R06C02
indiv_11,7786923023_R02C01
indiv_11,7512551008_R03C01
indiv_12,7471147145_R06C01
indiv_12,7786915157_R01C02
indiv_13,7796814020_R04C02
indiv_13,7512551008_R02C01
indiv_14,7471147067_R02C02
indiv_14,7512551008_R06C02
indiv_15,7786915052_R01C01
indiv_15,7786915157_R02C02
indiv_16,7786923050_R03C01
indiv_16,7786915157_R04C01
indiv_17,7471147069_R02C02
indiv_17,7786915157_R03C02
indiv_18,7786923038_R03C02
indiv_18,7512578059_R04C02
indiv_19,7507875153_R03C02
indiv_19,7512551008_R02C02
indiv_20,7471147034_R03C01
indiv_20,7786915157_R06C02
indiv_21,7471147081_R06C01
indiv_21,7512551008_R04C01
indiv_22,7786923028_R03C01
indiv_22,7512551008_R05C02
indiv_23,7786923001_R06C01
indiv_23,7512560138_R02C01
indiv_24,7471147089_R06C01
indiv_24,7512560138_R05C01
indiv_25,7786915048_R04C01
indiv_25,7786915157_R05C01
indiv_26,7471147134_R02C01
indiv_26,7512560138_R04C01
indiv_27,7786915153_R05C01
indiv_27,7786915157_R02C01
indiv_28,7507875154_R05C01
indiv_28,7786915157_R05C02
indiv_29,7786915105_R02C01
indiv_29,7512578059_R05C02
indiv_30,7786923077_R04C01
indiv_30,7512551008_R04C02
indiv_31,7786923067_R06C01
indiv_31,7512560138_R06C01
indiv_32,7786915047_R02C02
indiv_32,7786915157_R03C01
indiv_33,7471147022_R02C02
indiv_33,7786915157_R04C02
indiv_34,7786915116_R06C02
indiv_34,7512578059_R02C02
indiv_35,7786915075_R05C01
indiv_35,7512560138_R01C01
indiv_36,7786915069_R03C01
indiv_36,7512551008_R05C01
