pair,omitted,variance_ratio,d_vr,icc_orig,icc_pc,sem_orig,sem_pc,mdc95_orig,mdc95_pc
Horvath1,indiv_01,0.1287,-0.0047,0.9445,0.9903,1.9716,0.7072,5.4649,1.9602
Horvath1,indiv_02,0.1301,-0.0032,0.9436,0.9902,1.9714,0.7111,5.4644,1.9712
Horvath1,indiv_03,0.1369,0.0035,0.9445,0.9898,1.946,0.7199,5.394,1.9954
Horvath1,indiv_04,0.1377,0.0044,0.9465,0.9898,1.9387,0.7194,5.3737,1.9941
Horvath1,indiv_05,0.1444,0.011,0.9478,0.9896,1.8945,0.7198,5.2511,1.9952
Horvath1,indiv_06,0.1238,-0.0095,0.9446,0.9906,1.9703,0.6933,5.4614,1.9218
Horvath1,indiv_07,0.1169,-0.0165,0.9424,0.9911,1.9694,0.6733,5.4588,1.8662
Horvath1,indiv_08,0.1335,0.0001,0.9452,0.9902,1.9573,0.715,5.4253,1.982
Horvath1,indiv_09,0.1469,0.0136,0.9487,0.9901,1.8609,0.7132,5.1581,1.977
Horvath1,indiv_10,0.135,0.0017,0.9399,0.9889,1.9591,0.7198,5.4303,1.9951
Horvath1,indiv_11,0.1345,0.0011,0.9442,0.9897,1.963,0.7198,5.441,1.9953
Horvath1,indiv_12,0.1382,0.0048,0.9463,0.9901,1.9353,0.7194,5.3642,1.9939
Horvath1,indiv_13,0.1345,0.0012,0.9423,0.988,1.9594,0.7186,5.431,1.9918
Horvath1,indiv_14,0.1041,-0.0293,0.945,0.992,1.9637,0.6335,5.4431,1.7559
Horvath1,indiv_15,0.1218,-0.0115,0.9451,0.9908,1.9625,0.685,5.4397,1.8988
Horvath1,indiv_16,0.1333,-0.0,0.9409,0.9894,1.9715,0.7198,5.4646,1.9953
Horvath1,indiv_17,0.1291,-0.0043,0.9438,0.99,1.9511,0.7009,5.4082,1.9429
Horvath1,indiv_18,0.1389,0.0055,0.9431,0.9898,1.9245,0.7172,5.3345,1.9878
Horvath1,indiv_19,0.1414,0.0081,0.9473,0.9902,1.8936,0.7121,5.2487,1.9739
Horvath1,indiv_20,0.1279,-0.0054,0.9451,0.9906,1.9596,0.7008,5.4318,1.9424
Horvath1,indiv_21,0.13,-0.0034,0.9439,0.9903,1.9565,0.7054,5.423,1.9551
Horvath1,indiv_22,0.1363,0.003,0.9452,0.99,1.9477,0.7191,5.3986,1.9932
Horvath1,indiv_23,0.137,0.0037,0.9468,0.9902,1.9259,0.7129,5.3381,1.976
Horvath1,indiv_24,0.144,0.0107,0.9487,0.99,1.8969,0.7198,5.2578,1.9951
Horvath1,indiv_25,0.1343,0.0009,0.9411,0.9896,1.9643,0.7197,5.4446,1.995
Horvath1,indiv_26,0.1282,-0.0051,0.9382,0.9897,1.9706,0.7056,5.4622,1.9559
Horvath1,indiv_27,0.136,0.0027,0.9415,0.9893,1.9521,0.7199,5.4109,1.9953
