sample_id,clock_id,variant,score,unit,implementation,repo_url,commit,r_version,pkg_version,clock_function,imputation
7471147034_R03C01,Horvath1,original,55.14616173,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7471147069_R02C02,Horvath1,original,43.89549159,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7471147072_R01C02,Horvath1,original,54.79942228,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7471147089_R06C01,Horvath1,original,51.71626416,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7471147107_R05C02,Horvath1,original,63.77800177,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7471147134_R02C01,Horvath1,original,38.37206093,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7471147145_R06C01,Horvath1,original,54.7314871,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7471147149_R06C01,Horvath1,original,48.24172506,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7507875153_R03C02,Horvath1,original,62.93347924,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7507875154_R05C01,Horvath1,original,50.59711597,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
7512560087_R03C01,Horvath1,original,60.66562323,years,methylCIPHER,https://github.com/HigginsChenLab/methylCIPHER,9e8c1e55f53c3fdeaf32a38cc8ef109be8b2a8c8,4.6.1,0.2.0,calcHorvath1,mean (methylCIPHER default: PC clocks mean-impute missing clock CpGs)
